C7057|Disease, Disorder or Finding
C9162|Childhood Acute Monoblastic Leukemia
C9158|Childhood Acute Myeloid Leukemia without Maturation
C5057|Metastatic Hodgkin Lymphoma in the Cerebral Hemisphere
C45214|Primary Cutaneous Intravascular Large B-Cell Lymphoma
C45216|Primary Cutaneous Plasmablastic Lymphoma
C45215|Primary Cutaneous T-Cell/Histiocyte-Rich Large B-Cell Lymphoma
C7195|Primary Cutaneous CD30-Positive T-Cell Lymphoproliferative Disorder
C129599|Central Nervous System Anaplastic Large Cell Lymphoma, ALK-Negative
C129598|Central Nervous System Anaplastic Large Cell Lymphoma, ALK-Positive
C7279|Ovarian Surface Papilloma
C40031|Ovarian Serous Adenofibroma
C8938|Refractory Cutaneous T-Cell Non-Hodgkin Lymphoma
C6918|Subcutaneous Panniculitis-Like T-Cell Lymphoma
C6342|Cervical Squamous Papilloma
C4746|Benign Ovarian Brenner Tumor
C130951|Stage IA Mycosis Fungoides
C130237|Stage IB Mycosis Fungoides
C40041|Ovarian Mucinous Cystadenofibroma
C40291|Vulvar Inverted Follicular Keratosis
C40291|Vulvar Inverted Follicular Keratosis
C6374|Vaginal Squamous Papilloma
C7580|Skin Appendage Adenoma
C6376|Vestibular Papilloma
C7297|Splenic Manifestation of Prolymphocytic Leukemia
C7302|Splenic Manifestation of T-Cell Large Granular Lymphocyte Leukemia
C7565|Eccrine Hidrocystoma
C4168|Apocrine Adenoma
C43356|Syringofibroadenoma
C3761|Syringoma
C8459|Hepatosplenic T-Cell Lymphoma
C7309|Splenic Burkitt Lymphoma
C7308|Splenic Diffuse Large B-Cell Lymphoma
C27094|Cylindroma
C6013|Stage I Nasal Cavity Cancer AJCC v6 and v7
C7484|Malignant Laryngeal Neoplasm
C9322|Malignant Parathyroid Gland Neoplasm
C7545|Malignant Pharyngeal Neoplasm
C129861|Advanced Head and Neck Carcinoma
C133193|Metastatic Thyroid Gland Carcinoma
C133256|Stage I Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8
C8205|Stage III Lip Basal Cell Cancer
C4044|Laryngeal Squamous Cell Cancer
C6055|Stage III Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C8226|Stage III Nasopharyngeal Keratinizing Squamous Cell Cancer
C8230|Recurrent Nasopharyngeal Keratinizing Squamous Cell Cancer
C8224|Stage II Nasopharyngeal Keratinizing Squamous Cell Cancer
C8201|Stage II Lip Basal Cell Carcinoma
C8208|Stage III Oral Cavity Adenoid Cystic Cancer
C8209|Stage IV Lip Basal Cell Cancer
C6055|Stage III Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C8207|Stage III Oral Cavity Mucoepidermoid Cancer
C8197|Stage I Lip Basal Cell Cancer
C5880|Stage IVA Lip Cancer AJCC v6 and v7
C5879|Stage IV Lip Cancer AJCC v6 and v7
C115061|Stage IVA Lip and Oral Cavity Squamous Cell Cancer
C5881|Stage IVA Lip Cancer AJCC v6 and v7
C5887|Stage IVA Oral Cavity Cancer AJCC v6 and v7
C115062|Stage IVB Lip and Oral Cavity Squamous Cell Cancer
C5888|Stage IVB Oral Cavity Cancer AJCC v6 and v7
C5882|Stage IVC Lip Cancer AJCC v6 and v7
C115063|Stage IVC Lip and Oral Cavity Squamous Cell Cancer
C3630|Benign Parathyroid Gland Neoplasm
C5889|Stage IVC Oral Cavity Cancer AJCC v6 and v7
C3601|Benign Laryngeal Neoplasm
C6054|Stage II Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C6054|Stage II Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C3597|Benign Pharyngeal Neoplasm
C8204|Stage II Oral Cavity Adenoid Cystic Cancer
C8203|Stage II Oral Cavity Mucoepidermoid Cancer
C3156|Laryngeal Neoplasm
C5293|Jugular Foramen Meningioma
C5323|Jugular Foramen Schwannoma
C3568|Malignant Brain Tumor
C7045|Malignant Intracranial Neoplasms By Morphology
C42690|Lip and Oral Cavity Squamous Cell Cancer
C129324|Anaplastic Oligoastrocytoma, Not Otherwise Specified
C114973|Childhood Anaplastic Oligoastrocytoma
C4642|Brain Glioblastoma
C129295|Glioblastoma, Not Otherwise Specified
C124293|Childhood Anaplastic Ependymoma
C111691|Glioblastoma by Gene Expression Profile
C8270|Adult Anaplastic Oligodendroglioma
C114833|Childhood Central Nervous System Embryonal Neoplasm
C129321|Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted
C129322|Anaplastic Oligodendroglioma, Not Otherwise Specified
C114775|Childhood Cerebral Neuroblastoma
C4015|Metastatic Malignant Neoplasm to the Central Nervous System
C115381|Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor
C4420|Benign Frontal Sinus Neoplasm
C4970|Cerebral Embryonal Tumor, Not Otherwise Specified
C4417|Benign Ethmoid Sinus Neoplasm
C4417|Benign Ethmoid Sinus Neoplasm
C8194|Nasal Cavity Inverted Papilloma
C4414|Benign Maxillary Sinus Neoplasm
C5309|Ethmoid Sinus Primary Ectopic Meningioma
C4420|Benign Frontal Sinus Neoplasm
C3541|Malignant Ethmoid Sinus Neoplasm
C8194|Nasal Cavity Inverted Papilloma
C3542|Malignant Frontal Sinus Neoplasm
C123835|Childhood Testicular Immature Teratoma
C8195|Paranasal Sinus Inverted Papilloma
C6835|Paranasal Sinus Schneiderian Papilloma
C115432|Recurrent Inverted Schneiderian Papilloma
C123837|Childhood Testicular Mature Teratoma
C123835|Childhood Testicular Immature Teratoma
C5419|Gliofibroma
C123837|Childhood Testicular Mature Teratoma
C115381|Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor
C114775|Childhood Cerebral Neuroblastoma
C4970|Cerebral Embryonal Tumor, Not Otherwise Specified
C114833|Childhood Central Nervous System Embryonal Neoplasm
C7094|Hepatoblastoma with Combined Fetal and Embryonal Epithelial Differentiation
C7095|Macrotrabecular Hepatoblastoma
C7093|Hepatoblastoma with Pure Fetal Epithelial Differentiation
C8387|Childhood Cerebral Diffuse Astrocytoma
C9191|Recurrent Childhood Cerebral Astrocytoma
C8387|Childhood Cerebral Diffuse Astrocytoma
C4048|Childhood Pilocytic Astrocytoma
C3716|Primitive Neuroectodermal Tumor
C114964|Childhood Gemistocytic Astrocytoma
C114963|Childhood Fibrillary Astrocytoma
C115373|Recurrent Childhood Pilomyxoid Astrocytoma
C115361|Recurrent Childhood Fibrillary Astrocytoma
C115362|Recurrent Childhood Gemistocytic Astrocytoma
C115376|Recurrent Childhood Protoplasmic Astrocytoma
C115375|Recurrent Childhood Pleomorphic Xanthoastrocytoma
C68691|Adult Oligodendroglial Tumor
C9374|Adult Brain Meningioma
C4322|Fibrillary Astrocytoma
C71305|Adult Grade III Meningioma
C71304|Adult Grade II Meningioma
C4321|Gemistocytic Astrocytoma
C114972|Childhood Protoplasmic Astrocytoma
C115361|Recurrent Childhood Fibrillary Astrocytoma
C115362|Recurrent Childhood Gemistocytic Astrocytoma
C92550|Glioneuronal Tumor with Neuropil-Like Islands
C5967|Adult Brain Stem Neoplasm
C5408|Intradural Extramedullary Cauda Equina Astrocytoma
C5968|Adult Cerebellar Neoplasm
C123835|Childhood Testicular Immature Teratoma
C8568|Adult Choroid Plexus Neoplasm
C123837|Childhood Testicular Mature Teratoma
C68632|Childhood Extragonadal Malignant Germ Cell Tumor
C5829|Accessory Nerve Neoplasm
C6770|Ependymal Tumor
C123848|Childhood Mixed Germ Cell Tumor
C9221|Recurrent Childhood Malignant Germ Cell Neoplasm
C5122|Trigeminal Nerve Neoplasm
C124293|Childhood Anaplastic Ependymoma
C124269|Childhood Myxopapillary Ependymoma
C8578|Childhood Ependymoma
C7532|Recurrent Childhood Optic Nerve Astrocytoma
C7532|Recurrent Childhood Optic Nerve Astrocytoma
C115373|Recurrent Childhood Pilomyxoid Astrocytoma
C115361|Recurrent Childhood Fibrillary Astrocytoma
C115362|Recurrent Childhood Gemistocytic Astrocytoma
C115376|Recurrent Childhood Protoplasmic Astrocytoma
C115375|Recurrent Childhood Pleomorphic Xanthoastrocytoma
C114972|Childhood Protoplasmic Astrocytoma
C114970|Childhood Pilomyxoid Astrocytoma
C35876|Childhood Intracranial Neoplasm
C115362|Recurrent Childhood Gemistocytic Astrocytoma
C115361|Recurrent Childhood Fibrillary Astrocytoma
C80374|Systemic EBV-Positive T-Cell Lymphoproliferative Disease of Childhood
C8055|Stage II Childhood Hodgkin Lymphoma
C27081|Juvenile Pilocytic Astrocytoma
C80297|Pediatric Follicular Lymphoma
C68692|Childhood Nasal Type Extranodal NK/T-Cell Lymphoma
C5636|Childhood Anaplastic Large Cell Lymphoma
C8058|Stage IV Childhood Hodgkin Lymphoma
C9057|Stage II Childhood Lymphoblastic Lymphoma
C8056|Stage I Childhood Hodgkin Lymphoma
C9059|Stage IV Childhood Lymphoblastic Lymphoma
C9056|Stage I Childhood Lymphoblastic Lymphoma
C50763|Sunset Syndrome
C7970|Childhood Acute Myelomonocytic Leukemia
C119989|Acute Anterior Uveitis
C9068|Recurrent Childhood Acute Myeloid Leukemia
C84989|Panuveitis
C35111|Posterior Uveitis
C34736|Iridocyclitis
C126598|Noninvasive Follicular Thyroid Neoplasm with Papillary-Like Nuclear Features
C34982|Retinopathy of Prematurity
C79717|Sclera Disorder
C50794|Uveitis Glaucoma And Hyphema Syndrome
C131079|X-Linked Hypoparathyroidism
C27343|Pituitary Gland Hypoplasia
C120442|Acquired Central Hypothyroidism
C132053|Iodine Deficiency Hypothyroidism
C121741|Hypothalamic Hypothyroidism
C131818|Iatrogenic Central Hypothyroidism
C34834|Myxedema
C27681|Human Papillomavirus-Related Anal Squamous Cell Carcinoma
C5612|Metastatic Anal Canal Carcinoma
C89795|Stage III Esophageal Cancer
C133442|Esophageal Squamous Cell Carcinoma by AJCC v7 Stage
C89794|Stage II Esophageal Cancer
C133452|Clinical Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8
C133414|Pathologic Stage I Esophageal Adenocarcinoma AJCC v8
C133453|Clinical Stage IVB Esophageal Squamous Cell Carcinoma AJCC v8
C5612|Metastatic Anal Canal Carcinoma
C133460|Postneoadjuvant Therapy Stage IVA Esophageal Squamous Cell Carcinoma AJCC v8
C133521|Pathologic Stage I Esophageal Squamous Cell Carcinoma AJCC v8
C133461|Postneoadjuvant Therapy Stage IVB Esophageal Squamous Cell Carcinoma AJCC v8
C133415|Pathologic Stage IA Esophageal Adenocarcinoma AJCC v8
C133416|Pathologic Stage IB Esophageal Adenocarcinoma AJCC v8
C133417|Pathologic Stage IC Esophageal Adenocarcinoma AJCC v8
C4787|Benign Digestive System Neoplasm
C3387|Gastric Neoplasm
C73940|Epstein-Barr Virus-Positive Neoplastic Cells Present
C60703|Gastrin Positive Neoplastic Cells Present
C60706|Glucagon-Like Peptide Positive Neoplastic Cells Present
C88422|Bone Cancer TNM Finding v7
C88449|Soft Tissue Sarcoma TNM Finding v7
C132877|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pM1 TNM Finding v8
C132862|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pT0 TNM Finding v8
C132863|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pT1 TNM Finding v8
C132864|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pT2 TNM Finding v8
C132869|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pN0 TNM Finding v8
C132871|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pN2 TNM Finding v8
C132870|HPV-Mediated (p16-Positive) Oropharyngeal Cancer pN1 TNM Finding v8
C132988|Hypopharyngeal Cancer pM1 TNM Finding v8
C132930|Hypopharyngeal Cancer pT2 TNM Finding v8
C132929|Hypopharyngeal Cancer pT1 TNM Finding v8
C132931|Hypopharyngeal Cancer pT3 TNM Finding v8
C132962|Hypopharyngeal Cancer pN0 TNM Finding v8
C132964|Hypopharyngeal Cancer pN1 TNM Finding v8
C132967|Hypopharyngeal Cancer pN2 TNM Finding v8
C132644|Head and Neck Cancer pNX TNM Finding v8
C132648|Head and Neck Cancer pN2a TNM Finding v8
C132651|Head and Neck Cancer pN3 TNM Finding v8
C132650|Head and Neck Cancer pN2c TNM Finding v8
C132649|Head and Neck Cancer pN2b TNM Finding v8
C132956|Hypopharyngeal Cancer cN3a TNM Finding v8
C132958|Hypopharyngeal Cancer cN3b TNM Finding v8
C133153|Laryngeal Cancer Pathologic Distant Metastasis TNM Finding v8
C133108|Glottic Cancer Pathologic Primary Tumor TNM Finding v8
C133139|Laryngeal Cancer Pathologic Regional Lymph Nodes TNM Finding v8
C132713|Lip and Oral Cavity Cancer cN2 TNM Finding v8
C132717|Lip and Oral Cavity Cancer cN3 TNM Finding v8
C132723|Lip and Oral Cavity Cancer cM0 TNM Finding v8
C132724|Lip and Oral Cavity Cancer cM1 TNM Finding v8
C133137|Laryngeal Cancer cN3a TNM Finding v8
C89036|Hypopharyngeal Cancer pT4b TNM Finding v7
C133138|Laryngeal Cancer cN3b TNM Finding v8
C88970|Nasopharyngeal Cancer pT4 TNM Finding v7
C89158|Thyroid Cancer Clinical Distant Metastasis TNM Finding v7
C105735|Homicide and Legal Intervention
C88975|Nasopharyngeal Cancer pN3b TNM Finding v7
C89156|Thyroid Cancer Pathologic Distant Metastasis TNM Finding v7
C89154|Thyroid Cancer Pathologic Regional Lymph Nodes TNM Finding v7
C89147|Thyroid Cancer Pathologic Primary Tumor TNM Finding v7
C27660|Non-Neoplastic Neck Disorder
C3299|Infectious Otitis Externa
C27653|Non-Neoplastic External Ear Disorder
C84763|Herpes Zoster Oticus
C84354|Infectious Otitis Media
C116364|Auditory Neuropathy Spectrum Disorder
C84575|Auditory Perceptual Disorder
C78351|Hypothermia
C97170|Central Auditory Processing Disorder
C34989|Rhinophyma
C34986|Rhinitis
C35024|Sinusitis
C99092|Perianal Abscess
C78312|Gastric Infection
C35152|Acute Cholecystitis
C97072|Ductal Plate Malformation
C97071|Congenital Hepatic Fibrosis
C97069|Extrahepatic Biliary Atresia
C116779|Spondylitis
C97070|Intrahepatic Biliary Atresia
C78412|Laryngeal Mucositis
C3853|Gastrointestinal Mucositis
C78553|Pharyngeal Mucositis
C78178|Acute Perforated Appendicitis
C101041|Short Segment Hirschsprung Disease
C101074|Total Intestinal Aganglionosis
C34494|Colic
C128366|Clinical Infection
C35307|Axillary Abscess
C27334|Adrenal Gland Abscess
C2902|Coagulation Disorder
C82902|Crypt Abscess
C35469|Anemia due to Disorder of Nucleotide Metabolism
C35327|Broncho-Esophageal Fistula
C80694|Bronchopleural Fistula
C36192|Arteriovenous Fistula
C34350|Actinomycosis
C84534|Actinomycetales Infection
C84565|Anthrax
C131656|Anemia due to Increased Destruction
C34726|Infectious Mononucleosis
C35472|Anemia due to Enzyme Disorder
C35713|Nodular Lymphoid Hyperplasia of Lung
C34658|Hallux Valgus
C26821|Lymphadenitis
C55941|CTCAE Grade 1 Platelets
C55276|Partial Thromboplastin Time Adverse Event
C55952|CTCAE Grade 2 Platelets
C55965|CTCAE Grade 3 Platelets
C124538|Ankyloglossia
C84552|Amniotic Band Syndrome
C124497|Atresia
C34460|Cerebral Palsy
C85027|Progressive Muscular Atrophy
C4786|Dementia
C55277|Thrombotic Microangiopathy Adverse Event
C54941|Sinus Tachycardia Adverse Event
C55249|CTCAE Grade 1 Other Coagulation
C55254|CTCAE Grade 2 Other Coagulation
C55259|CTCAE Grade 3 Other Coagulation
C55974|CTCAE Grade 4 Neutrophils and Granulocytes
C55987|CTCAE Grade 5 Neutrophils and Granulocytes
C55966|CTCAE Grade 4 Other Blood and Bone Marrow
C54943|Supraventricular Arrhythmia Adverse Event NOS
C55977|CTCAE Grade 5 Other Blood and Bone Marrow
C54816|CTCAE Grade 2 Bigeminy
C54944|Supraventricular Extrasystoles Adverse Event
C54785|CTCAE Grade 1 Bigeminy
C54823|CTCAE Grade 2 PVCs
C54848|CTCAE Grade 3 Bigeminy
C54792|CTCAE Grade 1 PVCs
C54854|CTCAE Grade 3 PVCs
C54819|CTCAE Grade 2 Idioventricular Rhythm
C54788|CTCAE Grade 1 Idioventricular Rhythm
C54851|CTCAE Grade 3 Idioventricular Rhythm
C3753|Germinoma
C2996|Dysgerminoma
C123835|Childhood Testicular Immature Teratoma
C123837|Childhood Testicular Mature Teratoma
C9309|Seminoma
C123835|Childhood Testicular Immature Teratoma
C123837|Childhood Testicular Mature Teratoma
C5319|Adult Meningeal Melanoma
C5319|Adult Meningeal Melanoma
C5319|Adult Meningeal Melanoma
C5318|Childhood Meningeal Melanoma
C5318|Childhood Meningeal Melanoma
C6891|Meningeal Melanomatosis
C6891|Meningeal Melanomatosis
C4662|Meningeal Melanocytoma
C66755|Proliferative Dermal Lesion in Congenital Nevus
C4234|Giant Congenital Nevus
C4234|Giant Congenital Nevus
C66754|Small Congenital Melanocytic Nevus
C66755|Proliferative Dermal Lesion in Congenital Nevus
C66754|Small Congenital Melanocytic Nevus
C3901|Compound Nevus
C7578|Nevus of Female Genitalia
C3901|Compound Nevus
C4633|Amelanotic Skin Melanoma
C4022|Acral Lentiginous Melanoma
C4227|Balloon Cell Melanoma
C4241|Cellular Blue Nevus
C4496|Common Blue Nevus
C40240|Cervical Blue Nevus
C4241|Cellular Blue Nevus
C7576|Deep Penetrating Nevus
C40240|Cervical Blue Nevus
C4496|Common Blue Nevus
C7576|Deep Penetrating Nevus
C95559|Mature Pancreatic Teratoma
C4668|Mediastinal Immature Malignant Teratoma
C45732|Mediastinal Germ Cell Tumor with Somatic-Type Malignancy
C5913|Oral Cavity Adenoma
C4668|Mediastinal Immature Malignant Teratoma
C7104|Mature Mediastinal Teratoma
C6439|Mediastinal Malignant Non-Seminomatous Germ Cell Tumor
C115428|Recurrent Extragonadal Seminoma
C6812|Mediastinal Seminoma
C9359|Skin Pigmented Basal Cell Carcinoma
C115385|Recurrent Malignant Extragonadal Germ Cell Tumor
C39961|Penile Basal Cell Carcinoma
C8880|Extragonadal Embryonal Carcinoma
C6439|Mediastinal Malignant Non-Seminomatous Germ Cell Tumor
C8884|Immature Extragonadal Teratoma
C9221|Recurrent Childhood Malignant Germ Cell Neoplasm
C38111|Skin Sarcomatoid Basal Cell Carcinoma
C3176|Philadelphia-Negative Myelogenous Leukemia
C3177|Philadelphia-Positive Myelogenous Leukemia
C8055|Stage II Childhood Hodgkin Lymphoma
C3171|Acute Myeloid Leukemia (AML)
C123737|Refractory Childhood Malignant Germ Cell Tumor
C8056|Stage I Childhood Hodgkin Lymphoma
C27912|Therapy-Related Myeloid Neoplasm
C8058|Stage IV Childhood Hodgkin Lymphoma
C5636|Childhood Anaplastic Large Cell Lymphoma
C27780|Myelodysplastic/Myeloproliferative Neoplasm, Unclassifiable
C68692|Childhood Nasal Type Extranodal NK/T-Cell Lymphoma
C82616|Myelodysplastic/Myeloproliferative Neoplasm with Ring Sideroblasts and Thrombocytosis
C130035|Chronic Myelomonocytic Leukemia-0
C80297|Pediatric Follicular Lymphoma
C36061|Chronic Myelomonocytic Leukemia-1
C36062|Chronic Myelomonocytic Leukemia-2
C3759|Oncocytic Adenoma
C9057|Stage II Childhood Lymphoblastic Lymphoma
C9059|Stage IV Childhood Lymphoblastic Lymphoma
C9056|Stage I Childhood Lymphoblastic Lymphoma
C82339|Transient Abnormal Myelopoiesis
C4932|Duodenal Adenoma
C43552|Small Intestinal Tubular Adenoma
C43553|Small Intestinal Tubulovillous Adenoma
C9068|Recurrent Childhood Acute Myeloid Leukemia
C96477|Rectal Tubular Adenoma
C5676|Colorectal Villous Adenoma
C5620|Rectal Tubulovillous Adenoma
C7970|Childhood Acute Myelomonocytic Leukemia
C88156|Leukemia Cutis
C45238|Cutaneous Precursor Lymphoid Neoplasm
C9294|Histiocytic and Dendritic Cell Neoplasm
C40032|Ovarian Serous Cystadenofibroma
C45332|Primary Cutaneous Peripheral T-Cell Lymphoma, Rare Subtype
C4614|Skin Papilloma
C7560|Sweat Gland Adenoma
C40290|Vestibular Micropapillomatosis
C7299|Splenic Manifestation of B-Cell Prolymphocytic Leukemia
C7298|Splenic Manifestation of T-Cell Prolymphocytic Leukemia
C43342|Apocrine Hidrocystoma
C27527|Tubular Apocrine Adenoma
C40311|Vulvar Syringoma
C7307|Splenic Follicular Lymphoma
C4663|Splenic Marginal Zone Lymphoma
C43351|Sporadic Cylindroma
C9316|Malignant Oral Neoplasm
C43352|Turban Tumor
C3546|Malignant Subglottis Neoplasm
C3544|Malignant Glottis Neoplasm
C4855|Laryngeal Cancer
C8557|Metastatic Malignant Neoplasm in the Parathyroid Glands
C7827|Metastatic Malignant Parathyroid Gland Neoplasm
C7190|Malignant Hypopharyngeal Neoplasm
C9321|Malignant Nasopharyngeal Neoplasm
C7398|Malignant Oropharyngeal Neoplasm
C42690|Lip and Oral Cavity Squamous Cell Cancer
C6077|Neck Carcinoma
C8186|Glottic Squamous Cell Carcinoma
C54337|Laryngeal Acantholytic Squamous Cell Carcinoma
C54335|Laryngeal Papillary Squamous Cell Carcinoma
C8222|Stage I Nasopharyngeal Keratinizing Squamous Cell Cancer
C8228|Stage IV Nasopharyngeal Keratinizing Squamous Cell Cancer
C5876|Stage I Lip Cancer AJCC v6 and v7
C5874|Stage IVA Basal Cell Lip Cancer
C5873|Stage IVB Basal Cell Lip Cancer
C5872|Stage IVC Basal Cell Lip Cancer
C5874|Stage IVA Basal Cell Lip Cancer
C5881|Stage IVA Lip Cancer AJCC v6 and v7
C8033|Stage I Lip and Oral Cavity Cancer
C5882|Stage IVC Lip Cancer AJCC v6 and v7
C6057|Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C5873|Stage IVB Basal Cell Lip Cancer
C5863|Stage IVA Oral Cavity Adenoid Cystic Cancer
C6057|Stage IVA Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C5868|Stage IVA Oral Cavity Mucoepidermoid Cancer
C6058|Stage IVB Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C5864|Stage IVB Oral Cavity Adenoid Cystic Cancer
C5867|Stage IVB Oral Cavity Mucoepidermoid Cancer
C6058|Stage IVB Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C5872|Stage IVC Basal Cell Lip Cancer
C6059|Stage IVC Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C3628|Benign Thyroid Gland Neoplasm
C5865|Stage IVC Oral Cavity Adenoid Cystic Cancer
C4605|Benign Glottis Neoplasm
C6059|Stage IVC Oral Cavity Squamous Cell Carcinoma AJCC v6 and v7
C5866|Stage IVC Oral Cavity Mucoepidermoid Cancer
C4427|Benign Subglottis Neoplasm
C3596|Benign Hypopharyngeal Neoplasm
C8414|Benign Supraglottis Neoplasm
C4425|Glottis Neoplasm
C4604|Benign Oropharyngeal Neoplasm
C3595|Benign Nasopharyngeal Neoplasm
C4426|Subglottis Neoplasm
C3313|Parathyroid Gland Neoplasm
C6793|Supraglottis Neoplasm
C4318|Gliomatosis Cerebri
C4533|Malignant Choroid Plexus Neoplasm
C4966|Malignant Infratentorial Neoplasm
C27307|Anaplastic (Malignant) Intracranial Meningioma
C115442|Recurrent Lip and Oral Cavity Squamous Cell Cancer
C4833|Oral Cavity Squamous Cell Carcinoma
C115060|Stage IV Lip and Oral Cavity Squamous Cell Cancer
C115358|Recurrent Childhood Anaplastic Oligoastrocytoma
C111694|Classical Glioblastoma
C5148|Infratentorial Glioblastoma
C5149|Supratentorial Glioblastoma
C129296|Glioblastoma with Primitive Neuronal Component
C111693|Neural Glioblastoma
C111695|Mesenchymal Glioblastoma
C5447|Childhood Anaplastic Oligodendroglioma
C114775|Childhood Cerebral Neuroblastoma
C115203|Childhood Ependymoblastoma
C129499|Embryonal Tumor with Multilayered Rosettes, Not Otherwise Specified
C3997|Childhood Medulloblastoma
C133504|Melanoma Metastatic in the Central Nervous System
C133503|Lung Carcinoma Metastatic in the Central Nervous System
C4585|Metastatic Malignant Neoplasm to the Spinal Cord
C4915|Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C6837|Frontal Sinus Schneiderian Papilloma
C6836|Ethmoid Sinus Schneiderian Papilloma
C6836|Ethmoid Sinus Schneiderian Papilloma
C6837|Frontal Sinus Schneiderian Papilloma
C6839|Maxillary Sinus Schneiderian Papilloma
C54293|Nasal Cavity and Paranasal Sinus Cancer
C6237|Ethmoid Sinus Adenocarcinoma
C6238|Ethmoid Sinus Adenoid Cystic Carcinoma
C6067|Frontal Sinus Squamous Cell Carcinoma
C6065|Ethmoid Sinus Squamous Cell Carcinoma
C6843|Ethmoid Sinus Inverted Papilloma
C6842|Frontal Sinus Inverted Papilloma
C6840|Maxillary Sinus Inverted Papilloma
C6836|Ethmoid Sinus Schneiderian Papilloma
C6837|Frontal Sinus Schneiderian Papilloma
C6839|Maxillary Sinus Schneiderian Papilloma
C129499|Embryonal Tumor with Multilayered Rosettes, Not Otherwise Specified
C116342|Low Grade Astrocytic Tumor
C4915|Embryonal Tumor with Multilayered Rosettes, C19MC-Altered
C115203|Childhood Ependymoblastoma
C3997|Childhood Medulloblastoma
C7097|Mixed Epithelial and Mesenchymal Hepatoblastoma
C114836|Recurrent Childhood Central Nervous System Embryonal Neoplasm
C7098|Mixed Hepatoblastoma with Teratoid Features
C7139|PRETEXT Stage 1 Hepatoblastoma
C114970|Childhood Pilomyxoid Astrocytoma
C114972|Childhood Protoplasmic Astrocytoma
C27081|Juvenile Pilocytic Astrocytoma
C3717|Melanotic Neuroectodermal Tumor
C27294|Localized Primitive Neuroectodermal Tumor
C115362|Recurrent Childhood Gemistocytic Astrocytoma
C6963|Neuroblastic Tumor
C115361|Recurrent Childhood Fibrillary Astrocytoma
C115380|Recurrent Childhood Subependymal Giant Cell Astrocytoma
C7530|Recurrent Childhood Visual Pathway Astrocytoma
C4014|Adult Oligodendroglioma
C71299|Adult Grade I Meningioma
C4320|Protoplasmic Astrocytoma
C8275|Adult Anaplastic (Malignant) Meningioma
C8293|Adult Papillary Meningioma
C6852|Adult Atypical Meningioma
C9091|Adult Brain Stem Glioma
C4047|Pilocytic Astrocytoma
C5797|Benign Adult Brain Stem Neoplasm
C5796|Benign Adult Cerebellar Neoplasm
C4011|Adult Medulloblastoma
C40315|Pilomyxoid Astrocytoma
C123737|Refractory Childhood Malignant Germ Cell Tumor
C5825|Trochlear Nerve Neoplasm
C115250|Adult Mixed Glioma
C131610|Ependymal Tumor of Brain and Spinal Cord
C4655|Trigeminal Schwannoma
C131526|Ependymal Tumor of Spinal Cord
C3861|Ependymal Tumor of Brain
C9041|Childhood Infratentorial Ependymoma
C9043|Childhood Supratentorial Ependymoma
C8579|Recurrent Childhood Ependymoma
C115380|Recurrent Childhood Subependymal Giant Cell Astrocytoma
C7530|Recurrent Childhood Visual Pathway Astrocytoma
C5831|Vagus Nerve Neoplasm
C114971|Childhood Pleomorphic Xanthoastrocytoma
C6253|Childhood Brain Meningioma
C82339|Transient Abnormal Myelopoiesis
C7703|Childhood Brain Neoplasm
C7816|Childhood Craniopharyngioma
C114785|Childhood Subependymal Giant Cell Astrocytoma
C80299|Pediatric Nodal Marginal Zone Lymphoma
C7534|Childhood Visual Pathway Astrocytoma
C9471|Childhood Systemic Anaplastic Large Cell Lymphoma
C115357|Recurrent Childhood Anaplastic Large Cell Lymphoma
C50807|Vitreous Detachment
C115031|Stage III Childhood Anaplastic Large Cell Lymphoma
C34476|Chronic Iridocyclitis
C101036|Retinopathy of Prematurity with Plus Disease
C115369|Recurrent Childhood Non-Hodgkin Lymphoma
C119046|Scleritis
C99027|Pseudohypoparathyroidism
C131187|Pycnodysostosis
C121743|Pituitary Hypothyroidism
C7201|Infrequent Neoplasm
C113143|Primary Hypothyroidism
C131031|Transient Hypothyroxinemia
C35516|Gastrointestinal Polyp
C115119|Stage IIIA Esophageal Cancer
C115120|Stage IIIB Esophageal Cancer
