NCI-2009-00324|C3646|Header_Concept|Neoplasm of Uncertain Malignant Potential|C3341|Pre-Cancerous Condition
NCI-2013-01989|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00644|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-01309|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-02213|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00653|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00845|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2009-01208|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00639|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-01078|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-01942|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00816|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2010-02157|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00044|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-01535|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2013-01940|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00715|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-00707|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2010-00228|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2011-01368|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2013-00003|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00654|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00387|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2010-02003|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00773|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2013-01017|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00640|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2013-02201|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-02186|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2011-02695|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-01079|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-01843|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-01505|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2013-01016|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2011-00986|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00680|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2012-00636|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2014-01534|C70588|Obsolete_Concept|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|C9251|Recurrent Non-Hodgkin Lymphoma
NCI-2013-00464|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00644|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00069|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2009-01208|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00639|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01078|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00807|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2010-02157|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-01535|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00003|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01076|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2010-02003|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00773|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-01017|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00640|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01079|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-01843|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2011-02878|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-02359|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01889|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00636|C8134|Obsolete_Concept|Stage III Adult Diffuse Mixed Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00464|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00644|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00069|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2009-01208|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00639|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01078|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-01535|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00003|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2010-02003|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00773|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-01017|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00640|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-01079|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2014-01843|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-02359|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2012-00636|C8133|Obsolete_Concept|Stage III Adult Diffuse Small Cleaved Cell Lymphoma|C8522|Stage III Non-Hodgkin Lymphoma
NCI-2013-00464|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00644|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00069|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2009-01208|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00639|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01078|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00807|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2010-02157|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01535|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-01940|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00003|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01076|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2010-02003|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00773|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-01017|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00640|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01079|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01843|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2011-02878|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-02359|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01889|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00636|C8147|Obsolete_Concept|Stage IV Adult Diffuse Mixed Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00464|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00644|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00069|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2009-01208|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00639|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01078|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01535|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-01940|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00003|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2010-02003|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00773|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-01017|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00640|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-01079|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2014-01843|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-02359|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2012-00636|C8146|Obsolete_Concept|Stage IV Adult Diffuse Small Cleaved Cell Lymphoma|C8523|Stage IV Non-Hodgkin Lymphoma
NCI-2013-00464|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2011-02673|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00644|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2014-00470|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2009-01348|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00069|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2014-00249|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2009-01208|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00639|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01078|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2014-00399|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2010-02157|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2014-01535|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2011-03309|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00003|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2009-00556|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2010-02003|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00773|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-01017|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00640|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2011-02508|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01079|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2011-02878|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-02359|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01889|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00636|C8077|Obsolete_Concept|Stage I Adult Diffuse Large Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00464|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00644|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00069|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2009-01208|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00639|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01078|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2010-02157|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2014-01535|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00003|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2010-02003|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00773|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-01017|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00640|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01079|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2011-02878|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-02359|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01889|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00636|C8076|Obsolete_Concept|Stage I Adult Diffuse Mixed Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00464|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00644|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00069|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2009-01208|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00639|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01078|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2014-01535|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00003|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2010-02003|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00773|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-01017|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00640|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-01079|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-02359|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2012-00636|C8075|Obsolete_Concept|Stage I Adult Diffuse Small Cleaved Cell Lymphoma|C8520|Stage I Non-Hodgkin Lymphoma
NCI-2013-00464|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2013-00713|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2013-00069|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2015-00109|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2009-01208|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2015-00079|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2012-00639|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2015-00891|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2012-01078|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
NCI-2014-01535|C7795|Obsolete_Concept|Stage I Cutaneous T-Cell Non-Hodgkin Lymphoma|C88150|Stage I Mycosis Fungoides and Sezary Syndrome
